species,spp10,spp2,dir_species,image,subset
01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,006cc31f-b1aa-42a7-8754-5eb21ceba506.jpg,train
01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,02919e0b-1f8c-480e-b9ed-9f4af3fc8e58.jpg,train
01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,0945e877-bfe0-4685-a331-7f9066dd8095.jpg,train
01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,0f6b6684-dcdc-4524-a08b-685cee3e37fd.jpg,train
01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,11156fd7-9507-4aec-915b-687e67cf4073.jpg,train
01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,13a9612d-46ce-43e1-a0ff-2f19c9da90c8.jpg,train
01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,1bc64de6-9427-4133-9feb-914c35f8e6c1.jpg,train
01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,1bfa94d8-29fa-4a05-bf57-75139f1c182c.jpg,train
01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,1f078344-4f3a-4f92-be69-0d6a38155b5f.jpg,train
01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,2b308c0e-105e-43e0-b4ac-027a5996ee60.jpg,train
01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,2f853680-6570-4d0b-8cbd-439fb17c3cf8.jpg,train
01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,3260c936-92d7-458d-8eec-5e3f1742eed0.jpg,train
01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,359661f4-d83f-4a31-b726-2c119cad9bcb.jpg,train
01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,3f645538-e169-4e59-9527-f1e100f002d0.jpg,train
01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,40829bf3-91b1-42f2-8ca4-d0c48b87faa6.jpg,train
01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,454e1c3f-77f2-4534-9da5-408f3e1eb693.jpg,train
01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,4bb17283-df61-472b-b37f-85b2631665a1.jpg,train
01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,TRUE,TRUE,/courses/EDS232/inaturalist-2021/train_mini/01079_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Melipotis_jucunda,4e5825a5-cb49-423f-baf5-56e383e4e05e.jpg,train
